Supplier Entered into Supplier Dashboard
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/widgets/slidebars/slidebars-demo.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/widgets/slimscroll/slimscroll.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/widgets/charts/piegage/piegage.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/widgets/charts/piegage/piegage-demo.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/widgets/overlay/overlay.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/js-init/widgets-init.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/widgets/content-box/contentbox.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/widgets/screenfull/screenfull.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/themes/admin/layout.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/widgets/theme-switcher/themeswitcher.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/icons/linecons/linecons.woff?28801370 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/icons/fontawesome/fontawesome-webfont.woff?v=4.0.3 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/image-resources/logo-admin.png? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/assets/image-resources/log-small.png? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /supplier_upload? 200 OK
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/js/autoNumeric-1.9.18.js? 304 NOT MODIFIED
[2018-Feb-14 10:39] saikumar 127.0.0.1 GET http /static/js/supplier-product.js? 304 NOT MODIFIED
[2018-Feb-14 10:40] saikumar 127.0.0.1 GET http /supplier_upload? 200 OK
[2018-Feb-14 10:40] saikumar 127.0.0.1 GET http /static/assets/images/icons/favicon.ico? 200 OK
